year,zip,price ($),cumulative increase,num_colleges
199702,02126,104800.0,1.1280947255113025,0
199703,02126,105900.0,1.139935414424112,0
199704,02126,107000.0,1.1517761033369214,0
199705,02126,108100.0,1.163616792249731,0
199706,02126,109200.0,1.1754574811625405,0
199707,02126,110200.0,1.186221743810549,0
199708,02126,111200.0,1.1969860064585576,0
199709,02126,112200.0,1.2077502691065662,0
199710,02126,113200.0,1.218514531754575,0
199711,02126,114200.0,1.2292787944025834,0
199712,02126,115400.0,1.2421959095801938,0
199801,02126,116500.0,1.2540365984930033,0
199802,02126,117600.0,1.2658772874058126,0
199803,02126,118400.0,1.2744886975242196,0
199804,02126,119300.0,1.2841765339074274,0
199805,02126,120200.0,1.2938643702906352,0
199806,02126,121100.0,1.3035522066738428,0
199807,02126,121900.0,1.3121636167922497,0
199808,02126,122800.0,1.3218514531754575,0
199809,02126,123800.0,1.3326157158234662,0
199810,02126,124800.0,1.3433799784714746,0
199811,02126,125900.0,1.3552206673842842,0
199812,02126,127200.0,1.3692142088266954,0
199901,02126,128600.0,1.3842841765339073,0
199902,02126,130000.0,1.3993541442411195,0
199903,02126,131400.0,1.4144241119483316,0
199904,02126,132800.0,1.4294940796555435,0
199905,02126,134300.0,1.4456404736275565,0
199906,02126,135900.0,1.4628632938643702,0
199907,02126,137600.0,1.481162540365985,0
199908,02126,139300.0,1.4994617868675997,0
199909,02126,141100.0,1.518837459634015,0
199910,02126,143000.0,1.5392895586652315,0
199911,02126,145000.0,1.5608180839612487,0
199912,02126,147200.0,1.5844994617868675,0
200001,02126,149400.0,1.6081808396124866,0
200002,02126,151600.0,1.6318622174381054,0
200003,02126,153700.0,1.6544671689989237,0
200004,02126,155800.0,1.6770721205597416,0
200005,02126,157800.0,1.698600645855759,0
200006,02126,159900.0,1.721205597416577,0
200007,02126,161900.0,1.742734122712594,0
200008,02126,163900.0,1.7642626480086114,0
200009,02126,165900.0,1.7857911733046286,0
200010,02126,167900.0,1.807319698600646,0
200011,02126,170000.0,1.8299246501614639,0
200012,02126,172100.0,1.852529601722282,0
200101,02126,174200.0,1.8751345532831,0
200102,02126,176300.0,1.8977395048439183,0
200103,02126,178300.0,1.9192680301399354,0
200104,02126,180200.0,1.9397201291711519,0
200105,02126,182200.0,1.961248654467169,0
200106,02126,184100.0,1.9817007534983853,0
200107,02126,186100.0,2.0032292787944024,0
200108,02126,188100.0,2.0247578040904197,0
200109,02126,190200.0,2.0473627556512377,0
200110,02126,192400.0,2.071044133476857,0
200111,02126,194600.0,2.094725511302476,0
200112,02126,196900.0,2.1194833153928956,0
200201,02126,199300.0,2.1453175457481164,0
200202,02126,201700.0,2.1711517761033368,0
200203,02126,204200.0,2.1980624327233587,0
200204,02126,206700.0,2.22497308934338,0
200205,02126,209200.0,2.2518837459634016,0
200206,02126,211700.0,2.278794402583423,0
200207,02126,214400.0,2.307857911733046,0
200208,02126,217100.0,2.3369214208826694,0
200209,02126,219900.0,2.3670613562970937,0
200210,02126,222700.0,2.397201291711518,0
200211,02126,226200.0,2.434876210979548,0
200212,02126,230600.0,2.482238966630786,0
200301,02126,235700.0,2.53713670613563,0
200302,02126,240500.0,2.588805166846071,0
200303,02126,245000.0,2.63724434876211,0
200304,02126,249200.0,2.6824542518837458,0
200305,02126,252800.0,2.721205597416577,0
200306,02126,256300.0,2.758880516684607,0
200307,02126,259700.0,2.7954790096878366,0
200308,02126,263200.0,2.8331539289558667,0
200309,02126,266800.0,2.8719052744886975,0
200310,02126,270600.0,2.9128094725511304,0
200311,02126,274300.0,2.9526372443487623,0
200312,02126,277500.0,2.9870828848223896,0
200401,02126,280100.0,3.015069967707212,0
200402,02126,282400.0,3.039827771797632,0
200403,02126,284900.0,3.0667384284176533,0
200404,02126,287800.0,3.0979547900968782,0
200405,02126,291000.0,3.132400430570506,0
200406,02126,294300.0,3.1679224973089344,0
200407,02126,297400.0,3.201291711517761,0
200408,02126,300100.0,3.2303552206673842,0
200409,02126,302400.0,3.255113024757804,0
200410,02126,304200.0,3.2744886975242196,0
200411,02126,305400.0,3.28740581270183,0
200412,02126,306100.0,3.294940796555436,0
200501,02126,306800.0,3.302475780409042,0
200502,02126,307500.0,3.310010764262648,0
200503,02126,308400.0,3.319698600645856,0
200504,02126,309900.0,3.3358449946178688,0
200505,02126,311800.0,3.356297093649085,0
200506,02126,314200.0,3.382131324004306,0
200507,02126,317000.0,3.4122712594187297,0
200508,02126,319700.0,3.441334768568353,0
200509,02126,321800.0,3.4639397201291713,0
200510,02126,323300.0,3.480086114101184,0
200511,02126,324300.0,3.4908503767491927,0
200512,02126,324700.0,3.495156081808396,0
200601,02126,325400.0,3.502691065662002,0
200602,02126,326300.0,3.51237890204521,0
200603,02126,327900.0,3.5296017222820235,0
200604,02126,329900.0,3.551130247578041,0
200605,02126,331400.0,3.5672766415500536,0
200606,02126,331300.0,3.566200215285253,0
200607,02126,329800.0,3.55005382131324,0
200608,02126,327400.0,3.5242195909580194,0
200609,02126,325000.0,3.4983853606027986,0
200610,02126,323100.0,3.4779332615715823,0
200611,02126,321700.0,3.46286329386437,0
200612,02126,320800.0,3.4531754574811626,0
200701,02126,320800.0,3.4531754574811626,0
200702,02126,320600.0,3.451022604951561,0
200703,02126,320000.0,3.4445640473627557,0
200704,02126,319500.0,3.4391819160387516,0
200705,02126,318700.0,3.4305705059203446,0
200706,02126,316800.0,3.410118406889128,0
200707,02126,314500.0,3.385360602798708,0
200708,02126,311800.0,3.356297093649085,0
200709,02126,309000.0,3.3261571582346607,0
200710,02126,306300.0,3.2970936490850375,0
200711,02126,303400.0,3.2658772874058126,0
200712,02126,299900.0,3.2282023681377825,0
200801,02126,296500.0,3.1916038751345535,0
200802,02126,292200.0,3.1453175457481164,0
200803,02126,287100.0,3.0904198062432724,0
200804,02126,282000.0,3.0355220667384284,0
200805,02126,276700.0,2.9784714747039827,0
200806,02126,270300.0,2.9095801937567276,0
200807,02126,264400.0,2.8460710441334767,0
200808,02126,259200.0,2.790096878363832,0
200809,02126,254500.0,2.7395048439181915,0
200810,02126,250100.0,2.692142088266954,0
200811,02126,245800.0,2.6458557588805167,0
200812,02126,241400.0,2.598493003229279,0
200901,02126,237700.0,2.558665231431647,0
200902,02126,233800.0,2.5166846071044136,0
200903,02126,229600.0,2.471474703982777,0
200904,02126,225800.0,2.4305705059203446,0
200905,02126,221800.0,2.38751345532831,0
200906,02126,217400.0,2.3401506996770722,0
200907,02126,214500.0,2.3089343379978473,0
200908,02126,212700.0,2.2895586652314317,0
200909,02126,211000.0,2.271259418729817,0
200910,02126,209700.0,2.2572658772874057,0
200911,02126,208600.0,2.2454251883745964,0
200912,02126,208200.0,2.241119483315393,0
201001,02126,205900.0,2.216361679224973,0
201002,02126,205400.0,2.2109795479009686,0
201003,02126,202800.0,2.1829924650161465,0
201004,02126,197400.0,2.1248654467168997,0
201005,02126,194100.0,2.0893433799784713,0
201006,02126,197000.0,2.1205597416576962,0
201007,02126,199800.0,2.1506996770721205,0
201008,02126,202300.0,2.177610333692142,0
201009,02126,204500.0,2.201291711517761,0
201010,02126,206000.0,2.217438105489774,0
201011,02126,207500.0,2.233584499461787,0
201012,02126,208800.0,2.247578040904198,0
201101,02126,209800.0,2.2583423035522068,0
201102,02126,210500.0,2.2658772874058126,0
201103,02126,212700.0,2.2895586652314317,0
201104,02126,216000.0,2.32508073196986,0
201105,02126,218100.0,2.347685683530678,0
201106,02126,218000.0,2.3466092572658774,0
201107,02126,218700.0,2.3541442411194833,0
201108,02126,219900.0,2.3670613562970937,0
201109,02126,218200.0,2.348762109795479,0
201110,02126,214900.0,2.3132400430570508,0
201111,02126,212800.0,2.2906350914962323,0
201112,02126,213000.0,2.292787944025834,0
201201,02126,213100.0,2.293864370290635,0
201202,02126,213400.0,2.2970936490850375,0
201203,02126,215000.0,2.3143164693218514,0
201204,02126,217400.0,2.3401506996770722,0
201205,02126,219100.0,2.3584499461786868,0
201206,02126,221300.0,2.382131324004306,0
201207,02126,221900.0,2.388589881593111,0
201208,02126,221100.0,2.379978471474704,0
201209,02126,223700.0,2.407965554359526,0
201210,02126,228900.0,2.4639397201291713,0
201211,02126,232300.0,2.5005382131324003,0
201212,02126,233500.0,2.5134553283100107,0
201301,02126,235000.0,2.5296017222820235,0
201302,02126,235800.0,2.5382131324004304,0
201303,02126,237500.0,2.5565123789020454,0
201304,02126,241000.0,2.5941872981700755,0
201305,02126,245200.0,2.6393972012917115,0
201306,02126,246400.0,2.652314316469322,0
201307,02126,246000.0,2.6480086114101185,0
201308,02126,247500.0,2.6641550053821312,0
201309,02126,251600.0,2.7082884822389666,0
201310,02126,255800.0,2.753498385360603,0
201311,02126,258600.0,2.783638320775027,0
201312,02126,259400.0,2.7922497308934338,0
201401,02126,260200.0,2.8008611410118407,0
201402,02126,261500.0,2.8148546824542517,0
201403,02126,263200.0,2.8331539289558667,0
201404,02126,263900.0,2.8406889128094726,0
201405,02126,263500.0,2.836383207750269,0
201406,02126,262400.0,2.8245425188374598,0
201407,02126,263000.0,2.831001076426265,0
201408,02126,263800.0,2.839612486544672,0
201409,02126,264000.0,2.841765339074273,0
201410,02126,263700.0,2.838536060279871,0
201411,02126,264700.0,2.8493003229278795,0
201412,02126,267700.0,2.881593110871905,0
201501,02126,271300.0,2.9203444564047363,0
201502,02126,272500.0,2.9332615715823467,0
201503,02126,272000.0,2.927879440258342,0
201504,02126,272900.0,2.93756727664155,0
201505,02126,276900.0,2.9806243272335844,0
201506,02126,282300.0,3.038751345532831,0
201507,02126,287000.0,3.0893433799784713,0
201508,02126,290100.0,3.122712594187298,0
201509,02126,291700.0,3.139935414424112,0
201510,02126,293400.0,3.158234660925727,0
201511,02126,296000.0,3.186221743810549,0
201512,02126,299400.0,3.2228202368137784,0
201601,02126,304200.0,3.2744886975242196,0
201602,02126,311000.0,3.347685683530678,0
201603,02126,318300.0,3.426264800861141,0
201604,02126,323200.0,3.4790096878363834,0
201605,02126,324100.0,3.488697524219591,0
201606,02126,324700.0,3.495156081808396,0
201607,02126,328900.0,3.540365984930032,0
201608,02126,333500.0,3.589881593110872,0
201609,02126,336000.0,3.6167922497308935,0
201610,02126,340100.0,3.660925726587729,0
201611,02126,345200.0,3.715823466092573,0
201612,02126,348800.0,3.7545748116254036,0
199604,02127,116300.0,1.0,0
199605,02127,116500.0,1.001719690455718,0
199606,02127,116700.0,1.003439380911436,0
199607,02127,117000.0,1.0060189165950129,0
199608,02127,117300.0,1.0085984522785898,0
199609,02127,117800.0,1.0128976784178847,0
199610,02127,118400.0,1.0180567497850388,0
199611,02127,119200.0,1.0249355116079106,0
199612,02127,120200.0,1.0335339638865004,0
199701,02127,121400.0,1.0438521066208082,0
199702,02127,122700.0,1.0550300945829751,0
199703,02127,123900.0,1.065348237317283,0
199704,02127,125300.0,1.0773860705073086,0
199705,02127,126700.0,1.0894239036973346,0
199706,02127,128300.0,1.1031814273430782,0
199707,02127,129900.0,1.1169389509888221,0
199708,02127,131500.0,1.1306964746345658,0
199709,02127,133200.0,1.1453138435081684,0
199710,02127,135000.0,1.1607910576096303,0
199711,02127,136700.0,1.175408426483233,0
199712,02127,138600.0,1.1917454858125538,0
199801,02127,140500.0,1.2080825451418744,0
199802,02127,142400.0,1.2244196044711952,0
199803,02127,144200.0,1.2398968185726569,0
199804,02127,146100.0,1.2562338779019777,0
199805,02127,148100.0,1.2734307824591573,0
199806,02127,150000.0,1.2897678417884781,0
199807,02127,151900.0,1.3061049011177988,0
199808,02127,153700.0,1.3215821152192606,0
199809,02127,155500.0,1.3370593293207222,0
199810,02127,157400.0,1.353396388650043,0
199811,02127,159300.0,1.3697334479793637,0
199812,02127,161400.0,1.3877901977644025,0
199901,02127,163800.0,1.408426483233018,0
199902,02127,166100.0,1.4282029234737748,0
199903,02127,168500.0,1.4488392089423903,0
199904,02127,171100.0,1.471195184866724,0
199905,02127,173900.0,1.4952708512467756,0
199906,02127,177000.0,1.5219260533104042,0
199907,02127,180300.0,1.5503009458297508,0
199908,02127,184000.0,1.582115219260533,0
199909,02127,188000.0,1.6165090283748924,0
199910,02127,192500.0,1.655202063628547,0
199911,02127,197400.0,1.6973344797936372,0
199912,02127,202900.0,1.7446259673258813,0
200001,02127,208600.0,1.7936371453138436,0
200002,02127,214500.0,1.8443680137575236,0
200003,02127,220300.0,1.8942390369733448,0
200004,02127,226000.0,1.943250214961307,0
200005,02127,231400.0,1.9896818572656922,0
200006,02127,236500.0,2.0335339638865007,0
200007,02127,241200.0,2.0739466895958727,0
200008,02127,245400.0,2.1100601891659503,0
200009,02127,249100.0,2.1418744625967325,0
200010,02127,252300.0,2.1693895098882203,0
200011,02127,255100.0,2.1934651762682718,0
200012,02127,257600.0,2.2149613069647462,0
200101,02127,259800.0,2.2338779019776442,0
200102,02127,261800.0,2.251074806534824,0
200103,02127,263500.0,2.2656921754084265,0
200104,02127,264900.0,2.277730008598452,0
200105,02127,266100.0,2.28804815133276,0
200106,02127,267200.0,2.2975064488392087,0
200107,02127,268200.0,2.306104901117799,0
200108,02127,269100.0,2.31384350816853,0
200109,02127,270300.0,2.3241616509028376,0
200110,02127,271600.0,2.3353396388650043,0
200111,02127,273200.0,2.349097162510748,0
200112,02127,275100.0,2.3654342218400686,0
200201,02127,277200.0,2.3834909716251076,0
200202,02127,279700.0,2.404987102321582,0
200203,02127,282400.0,2.4282029234737745,0
200204,02127,285300.0,2.4531384350816854,0
200205,02127,288400.0,2.4797936371453138,0
200206,02127,291600.0,2.5073086844368015,0
200207,02127,294900.0,2.535683576956148,0
200208,02127,298200.0,2.564058469475494,0
200209,02127,301600.0,2.5932932072227,0
200210,02127,305000.0,2.6225279449699053,0
200211,02127,308700.0,2.654342218400688,0
200212,02127,312400.0,2.68615649183147,0
200301,02127,315600.0,2.713671539122958,0
200302,02127,318300.0,2.7368873602751504,0
200303,02127,320900.0,2.759243336199484,0
200304,02127,323300.0,2.7798796216681,0
200305,02127,325600.0,2.7996560619088564,0
200306,02127,328000.0,2.820292347377472,0
200307,02127,330400.0,2.840928632846088,0
200308,02127,332700.0,2.8607050730868444,0
200309,02127,334900.0,2.879621668099742,0
200310,02127,336800.0,2.8959587274290626,0
200311,02127,338500.0,2.9105760963026657,0
200312,02127,340200.0,2.9251934651762683,0
200401,02127,342100.0,2.941530524505589,0
200402,02127,344100.0,2.9587274290627685,0
200403,02127,346300.0,2.9776440240756665,0
200404,02127,348800.0,2.999140154772141,0
200405,02127,351400.0,3.0214961306964745,0
200406,02127,354200.0,3.0455717970765264,0
200407,02127,357000.0,3.069647463456578,0
200408,02127,359800.0,3.0937231298366292,0
200409,02127,363100.0,3.122098022355976,0
200410,02127,366900.0,3.1547721410146172,0
200411,02127,370800.0,3.188306104901118,0
200412,02127,374500.0,3.2201203783319,0
200501,02127,378100.0,3.251074806534824,0
200502,02127,381200.0,3.277730008598452,0
200503,02127,384000.0,3.301805674978504,0
200504,02127,386300.0,3.3215821152192606,0
200505,02127,388200.0,3.3379191745485812,0
200506,02127,389600.0,3.349957007738607,0
200507,02127,390800.0,3.3602751504729147,0
200508,02127,391600.0,3.367153912295787,0
200509,02127,391800.0,3.368873602751505,0
200510,02127,391300.0,3.3645743766122096,0
200511,02127,389900.0,3.352536543422184,0
200512,02127,387700.0,3.3336199484092863,0
200601,02127,385400.0,3.31384350816853,0
200602,02127,383200.0,3.294926913155632,0
200603,02127,381000.0,3.2760103181427342,0
200604,02127,378900.0,3.2579535683576957,0
200605,02127,377000.0,3.241616509028375,0
200606,02127,375100.0,3.225279449699054,0
200607,02127,373200.0,3.2089423903697334,0
200608,02127,371300.0,3.1926053310404128,0
200609,02127,369500.0,3.177128116938951,0
200610,02127,368000.0,3.164230438521066,0
200611,02127,367100.0,3.156491831470335,0
200612,02127,366700.0,3.1530524505588993,0
200701,02127,367000.0,3.155631986242476,0
200702,02127,367400.0,3.159071367153912,0
200703,02127,367400.0,3.159071367153912,0
200704,02127,367000.0,3.155631986242476,0
200705,02127,366400.0,3.1504729148753223,0
200706,02127,365300.0,3.1410146173688736,0
200707,02127,364300.0,3.1324161650902838,0
200708,02127,363700.0,3.12725709372313,0
200709,02127,363100.0,3.122098022355976,0
200710,02127,362400.0,3.116079105760963,0
200711,02127,361300.0,3.1066208082545144,0
200712,02127,360000.0,3.095442820292347,0
200801,02127,359300.0,3.0894239036973343,0
200802,02127,358900.0,3.0859845227858984,0
200803,02127,358500.0,3.0825451418744625,0
200804,02127,358400.0,3.0816852966466035,0
200805,02127,358700.0,3.0842648323301805,0
200806,02127,358400.0,3.0816852966466035,0
200807,02127,357900.0,3.0773860705073086,0
200808,02127,357300.0,3.0722269991401547,0
200809,02127,356900.0,3.068787618228719,0
200810,02127,356900.0,3.068787618228719,0
200811,02127,357000.0,3.069647463456578,0
200812,02127,357100.0,3.0705073086844368,0
200901,02127,357700.0,3.0756663800515907,0
200902,02127,358100.0,3.0791057609630266,0
200903,02127,357700.0,3.0756663800515907,0
200904,02127,356800.0,3.06792777300086,0
200905,02127,355700.0,3.058469475494411,0
200906,02127,354300.0,3.0464316423043853,0
200907,02127,354300.0,3.0464316423043853,0
200908,02127,355800.0,3.05932932072227,0
200909,02127,357800.0,3.0765262252794496,0
200910,02127,359600.0,3.0920034393809113,0
200911,02127,361100.0,3.1049011177987964,0
200912,02127,362300.0,3.115219260533104,0
201001,02127,363100.0,3.122098022355976,0
201002,02127,364000.0,3.129836629406707,0
201003,02127,363600.0,3.126397248495271,0
201004,02127,361600.0,3.1092003439380913,0
201005,02127,360400.0,3.098882201203783,0
201006,02127,361200.0,3.1057609630266554,0
201007,02127,362600.0,3.117798796216681,0
201008,02127,365400.0,3.1418744625967325,0
201009,02127,367300.0,3.158211521926053,0
201010,02127,366300.0,3.1496130696474633,0
201011,02127,364500.0,3.1341358555460017,0
201012,02127,363700.0,3.12725709372313,0
201101,02127,361500.0,3.1083404987102323,0
201102,02127,360100.0,3.096302665520206,0
201103,02127,361500.0,3.1083404987102323,0
201104,02127,363900.0,3.128976784178848,0
201105,02127,365000.0,3.1384350816852966,0
201106,02127,366600.0,3.1521926053310403,0
201107,02127,366800.0,3.1539122957867582,0
201108,02127,363300.0,3.123817712811694,0
201109,02127,358700.0,3.0842648323301805,0
201110,02127,356700.0,3.067067927773001,0
201111,02127,356800.0,3.06792777300086,0
201112,02127,358600.0,3.0834049871023215,0
201201,02127,359800.0,3.0937231298366292,0
201202,02127,359800.0,3.0937231298366292,0
201203,02127,360900.0,3.1031814273430784,0
201204,02127,363700.0,3.12725709372313,0
201205,02127,365900.0,3.1461736887360274,0
201206,02127,367700.0,3.161650902837489,0
201207,02127,369700.0,3.178847807394669,0
201208,02127,372000.0,3.1986242476354256,0
201209,02127,376000.0,3.233018056749785,0
201210,02127,382000.0,3.284608770421324,0
201211,02127,387900.0,3.3353396388650043,0
201212,02127,391700.0,3.368013757523646,0
201301,02127,394800.0,3.3946689595872743,0
201302,02127,397500.0,3.4178847807394668,0
201303,02127,400800.0,3.4462596732588135,0
201304,02127,405400.0,3.4858125537403266,0
201305,02127,411900.0,3.5417024935511607,0
201306,02127,417900.0,3.5932932072227,0
201307,02127,424000.0,3.645743766122098,0
201308,02127,430600.0,3.7024935511607913,0
201309,02127,436200.0,3.750644883920894,0
201310,02127,440500.0,3.7876182287188307,0
201311,02127,444300.0,3.820292347377472,0
201312,02127,446100.0,3.835769561478934,0
201401,02127,448600.0,3.8572656921754085,0
