OBJECTID,FID_CollegePoints_Buffer,school,longitude,latitude,zipcode,admission_rate_1996,admission_rate_1997,admission_rate_1998,admission_rate_1999,admission_rate_2000,admission_rate_2001,admission_rate_2002,admission_rate_2003,admission_rate_2004,admission_rate_2005,admission_rate_2006,admission_rate_2007,admission_rate_2008,admission_rate_2009,admission_rate_2010,admission_rate_2011,admission_rate_2012,admission_rate_2013,admission_rate_2014,admission_rate_2015,admission_rate_2016,undergrad_population_1996,undergrad_population_1997,undergrad_population_1998,undergrad_population_1999,undergrad_population_2000,undergrad_population_2001,undergrad_population_2002,undergrad_population_2003,undergrad_population_2004,undergrad_population_2005,undergrad_population_2006,undergrad_population_2007,undergrad_population_2008,undergrad_population_2009,undergrad_population_2010,undergrad_population_2011,undergrad_population_2012,undergrad_population_2013,undergrad_population_2014,undergrad_population_2015,undergrad_population_2016,Acre_Estimate,Radius_ft_,BUFF_DIST,ORIG_FID,FID_ZIP_Codes,OBJECTID_1,ZIP5,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
96,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.0051513,1.15591E-06
97,2,Wheelock College,-71.106412,42.341753,2215,,,,,,,0.7934,0.6683,0.7377,0.8176,0.744,0.6285,0.7372,0.75,0.7045,0.7066,0.6922,0.7318,0.8752,0.9542,0.8391,682,664,676,604,,135,144,139,609,675,713,787,819,746,828,872,866,839,867,809,721,4.700455181,255.2931374,255.2931374,2,11,12,02115,19771296.03,34806.58402,0.0051513,1.15591E-06
98,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,0.0051513,1.15591E-06
99,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,28,29,02215,25198308,37861.73131,0.003421071,5.06613E-07
100,2,Wheelock College,-71.106412,42.341753,2215,,,,,,,0.7934,0.6683,0.7377,0.8176,0.744,0.6285,0.7372,0.75,0.7045,0.7066,0.6922,0.7318,0.8752,0.9542,0.8391,682,664,676,604,,135,144,139,609,675,713,787,819,746,828,872,866,839,867,809,721,4.700455181,255.2931374,255.2931374,2,28,29,02215,25198308,37861.73131,0.003421071,5.06613E-07
101,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,28,29,02215,25198308,37861.73131,0.003421071,5.06613E-07
102,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.010179369,5.08885E-06
103,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.010179369,5.08885E-06
104,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,0.010179369,5.08885E-06
105,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.002889387,3.60583E-07
106,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.002889387,3.60583E-07
107,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,11,12,02115,19771296.03,34806.58402,0.002889387,3.60583E-07
108,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,28,29,02215,25198308,37861.73131,0.001268661,6.76416E-08
109,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,28,29,02215,25198308,37861.73131,0.001268661,6.76416E-08
110,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,28,29,02215,25198308,37861.73131,0.001268661,6.76416E-08
111,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.001739457,1.30444E-07
112,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,0.001739457,1.30444E-07
113,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,11,12,02115,19771296.03,34806.58402,0.001739457,1.30444E-07
114,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.007272545,2.07373E-06
115,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.007272545,2.07373E-06
116,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,11,12,02115,19771296.03,34806.58402,0.007272545,2.07373E-06
117,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,26,27,02120,17329493.55,28148.29991,0.009198337,3.14348E-06
118,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,26,27,02120,17329493.55,28148.29991,0.009198337,3.14348E-06
119,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,26,27,02120,17329493.55,28148.29991,0.009198337,3.14348E-06
120,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.00685624,9.06597E-07
